File;Time;Max found clique size;File Description
queen12_12.col;0.0338673;12;
queen15_15.col;0.104064;15;
queen7_7.col;0.00488249;7;
hamming6-2.clq.txt;0.0477298;32;
c-fat500-1.clq.txt;0.0132264;14;
myciel4.col;0.000124822;2;
hamming6-4.clq.txt;0.0101514;4;
c-fat200-1.clq.txt;0.0033929;12;
queen5_5.col;0.00145491;5;
myciel3.col;3.9838e-05;2;
queen13_13.col;0.0614404;13;
queen6_6.col;0.00203138;6;
queen14_14.col;0.061548;14;
c-fat200-2.clq.txt;0.0186172;24;
queen8_12.col;0.0127074;12;
